Date,Open,High,Low,Close,Volume
20231103,364.75,369.02,364.52,367.71,378651
20231106,368.49,369.78,366.91,369.21,290149
20231107,370.27,373.58,369.04,372.7,365906
20231108,373.08,373.79,370.62,372.94,270731
20231109,373.64,374.8,369.57,370.07,393818
20231110,371.82,378.54,371.28,378.39,407632
20231113,376.79,378.28,375.24,377.21,308473
20231114,383.71,386.26,383.18,385.33,444511
20231115,387.24,387.75,384.23,385.62,378788
20231116,384.84,386.19,383.56,385.95,344899
20231117,385.21,387.07,384.29,386.04,260474
20231120,386.05,391.41,386.04,390.74,344969
20231121,389.01,389.23,386.7,388.47,315025
20231122,390.57,393.07,389.04,390.06,332003
20231124,389.64,390.25,388.5,389.51,110814
20231127,389.0,391.15,388.28,389.17,269283
20231128,388.4,390.78,388.05,390.19,247871
20231129,392.69,394.14,389.46,389.81,270510
20231130,390.1,390.55,385.82,388.83,326630
20231201,387.71,390.54,386.07,389.94,311952
20231204,386.09,386.6,382.66,386.32,374903
20231205,384.38,388.5,384.21,387.29,309105
20231206,390.27,390.37,384.7,385.05,297685
20231207,388.06,391.27,386.96,390.43,360094
20231208,388.67,392.62,388.48,392.17,331190
20231211,391.73,395.79,391.53,395.52,285996
20231212,395.56,398.79,394.41,398.67,246564
20231213,399.63,404.36,398.83,403.74,395157
20231214,404.98,406.3,400.34,403.39,395249
20231215,404.19,406.54,403.57,405.34,340697
20231218,404.93,407.99,404.6,407.08,251278
20231219,407.54,409.28,407.34,409.16,234751
20231220,408.35,410.47,402.9,403.08,406189
20231221,407.06,408.14,404.47,407.77,333313
20231222,409.0,409.97,406.47,408.38,234402
20231226,409.25,411.56,409.15,410.88,149604
20231227,410.95,411.79,410.08,411.5,227451
20231228,412.67,412.92,410.94,411.3,178978
20231229,411.29,411.64,407.58,409.52,274564
20240102,405.84,406.09,400.24,402.59,405231
20240103,399.93,401.0,397.89,398.33,359474
20240104,396.45,399.59,396.06,396.28,285090
20240105,396.44,399.56,395.34,396.75,337864
20240108,397.99,405.24,397.83,404.95,302209
20240109,401.91,406.69,401.71,405.75,292227
20240110,406.07,409.52,405.17,408.5,237832
20240111,409.78,411.21,404.24,409.35,370588
20240112,410.41,411.25,408.15,409.56,264019
20240116,408.31,411.12,406.83,409.52,329356
20240117,406.17,407.59,402.92,407.21,379825
20240118,410.52,413.58,409.16,412.99,417340
20240119,415.22,421.34,414.62,421.18,425413
20240122,423.41,424.73,421.12,421.73,296807
20240123,422.43,423.65,420.57,423.48,219853
20240124,427.44,429.85,425.33,425.83,342649
20240125,428.35,429.04,423.98,426.35,328180
20240126,424.42,426.21,423.15,423.81,277279
20240129,424.28,428.35,423.61,428.15,268486
20240130,427.1,427.68,424.38,425.3,237756
20240131,420.85,422.87,416.79,416.97,484116
20240201,418.79,422.38,417.81,421.88,319519
20240202,423.8,430.24,422.79,429.01,407521
20240205,429.07,429.61,425.0,428.45,292212
20240206,429.58,430.22,425.22,427.59,273567
20240207,430.41,432.83,429.09,431.99,276766
20240208,432.11,433.56,431.42,432.79,199752
20240209,433.94,437.85,433.14,437.05,238748
20240212,436.94,439.14,434.65,435.34,245812
20240213,427.28,431.27,425.33,428.55,444223
20240214,431.26,433.65,428.87,433.22,336543
20240215,433.92,434.98,431.33,434.51,295590
20240216,434.9,434.99,429.85,430.57,331019
20240220,428.54,430.08,423.5,427.32,390168
20240221,424.55,425.7,421.63,425.61,285887
20240222,434.49,439.12,433.71,438.07,377700
20240223,439.65,440.59,435.79,436.78,279116
20240226,437.6,438.6,436.35,436.55,233817
20240227,437.67,437.99,435.02,437.6,248900
20240228,435.44,436.67,434.3,435.27,240073
20240229,438.23,440.09,435.02,439.0,295864
20240301,439.9,446.58,439.84,445.61,295214
20240304,445.61,446.04,443.77,444.02,241547
20240305,440.94,440.95,433.65,436.05,386106
20240306,440.32,441.99,436.89,438.79,353348
20240307,442.39,446.72,440.86,445.45,304767
20240308,445.81,448.64,438.34,439.02,536036
20240311,437.51,438.66,435.44,437.39,315960
20240312,439.74,444.02,436.46,443.66,375507
20240313,442.64,442.67,439.12,440.25,273962
20240314,441.5,442.03,436.39,439.14,362777
20240315,436.07,436.78,432.74,433.92,360537
20240318,438.73,441.04,437.24,437.48,295578
20240319,435.45,438.98,433.33,438.57,298887
20240320,439.78,444.11,438.06,443.77,294053
20240321,448.88,449.34,445.67,445.87,271378
20240322,445.35,447.49,444.49,446.38,197650
20240325,443.55,446.26,442.54,444.76,204212
20240326,446.29,447.23,443.09,443.32,243091
20240327,446.43,446.54,441.93,444.83,272159
20240328,444.79,445.64,443.65,444.01,248436
20240401,444.97,447.53,443.02,444.95,300395
20240402,440.08,441.43,438.03,441.11,310418
20240403,438.96,444.0,438.95,442.1,276565
20240404,446.33,446.95,435.11,435.34,417732
20240405,436.78,443.17,435.96,440.47,394942
20240408,441.42,442.5,439.2,440.6,207240
20240409,442.94,443.24,437.44,442.23,300271
20240410,437.0,439.24,436.28,438.37,420743
20240411,440.25,446.33,437.96,445.37,313958
20240412,441.1,442.24,436.88,438.27,378316
20240415,442.06,442.15,430.21,431.06,458369
20240416,430.89,433.76,429.7,431.1,346780
20240417,433.1,433.12,424.9,425.84,397813
20240418,426.48,428.24,422.83,423.41,321778
